@relation LazyClass

@attribute NAD_NMD REAL
@attribute WMC REAL
@attribute class {0,1}

@Data
3.0,16.0,0
2.0,8.0,0
2.0,4.0,0
3.0,10.0,0
2.0,5.0,0
2.0,3.0,0
1.0,2.0,1
2.0,4.0,0
1.0,2.0,1
2.0,9.0,0
2.0,5.0,0
1.0,1.0,1
1.0,2.0,1
1.0,2.0,1
1.0,2.0,1
3.0,15.0,0
3.0,18.0,0
5.0,27.0,0
1.0,2.0,1
6.0,7.0,0
5.0,10.0,0
6.0,18.0,0
5.0,8.0,0
6.0,34.0,0
12.0,41.0,0
7.0,44.0,0
4.0,4.0,0
6.0,37.0,0
6.0,26.0,0
5.0,29.0,0
16.0,148.0,0
5.0,39.0,0
5.0,59.0,0
4.0,40.0,0
6.0,39.0,0
6.0,23.0,0
5.0,9.0,0
31.0,451.0,0
7.0,38.0,0
5.0,13.0,0
4.0,38.0,0
31.0,220.0,0
6.0,55.0,0
5.0,12.0,0
4.0,35.0,0
10.0,170.0,0
12.0,81.0,0
20.0,147.0,0
5.0,10.0,0
11.0,21.0,0
23.0,120.0,0
14.0,66.0,0
3.0,5.0,0
5.0,17.0,0
3.0,16.0,0
2.0,3.0,0
3.0,21.0,0
3.0,2.0,0
3.0,9.0,0
2.0,4.0,0
2.0,4.0,0
8.0,8.0,0
21.0,56.0,0
33.0,55.0,0
43.0,22.0,0
5.0,16.0,0
2.0,10.0,0
4.0,2.0,0
7.0,21.0,0
21.0,57.0,0
8.0,14.0,0
3.0,3.0,0
2.0,4.0,0
7.0,41.0,0
7.0,15.0,0
13.0,81.0,0
5.0,4.0,0
39.0,74.0,0
7.0,31.0,0
6.0,25.0,0
15.0,90.0,0
4.0,4.0,0
4.0,10.0,0
24.0,70.0,0
3.0,3.0,0
6.0,6.0,0
6.0,18.0,0
27.0,74.0,0
28.0,13.0,0
19.0,134.0,0
1.0,1.0,1
1.0,1.0,1
17.0,26.0,0
13.0,16.0,0
14.0,71.0,0
1.0,1.0,1
22.0,32.0,0
3.0,3.0,0
23.0,70.0,0
12.0,131.0,0
10.0,62.0,0
3.0,3.0,0
3.0,6.0,0
16.0,24.0,0
3.0,3.0,0
9.0,12.0,0
5.0,9.0,0
4.0,7.0,0
5.0,5.0,0
3.0,7.0,0
4.0,22.0,0
17.0,49.0,0
4.0,33.0,0
3.0,5.0,0
4.0,23.0,0
2.0,5.0,0
9.0,46.0,0
11.0,62.0,0
2.0,3.0,0
9.0,12.0,0
31.0,90.0,0
5.0,8.0,0
10.0,12.0,0
2.0,3.0,0
9.0,24.0,0
2.0,3.0,0
4.0,32.0,0
8.0,36.0,0
27.0,39.0,0
4.0,12.0,0
7.0,8.0,0
4.0,12.0,0
6.0,3.0,0
11.0,172.0,0
14.0,30.0,0
3.0,2.0,0
6.0,4.0,0
3.0,16.0,0
3.0,22.0,0
3.0,4.0,0
4.0,3.0,0
4.0,3.0,0
4.0,3.0,0
22.0,101.0,0
5.0,35.0,0
9.0,24.0,0
13.0,53.0,0
12.0,10.0,0
2.0,9.0,0
9.0,14.0,0
11.0,16.0,0
39.0,129.0,0
14.0,62.0,0
15.0,82.0,0
41.0,212.0,0
5.0,3.0,0
11.0,26.0,0
4.0,8.0,0
21.0,27.0,0
14.0,43.0,0
7.0,29.0,0
4.0,3.0,0
25.0,14.0,0
25.0,14.0,0
25.0,14.0,0
7.0,11.0,0
30.0,95.0,0
24.0,73.0,0
6.0,32.0,0
3.0,25.0,0
14.0,18.0,0
8.0,16.0,0
11.0,32.0,0
16.0,37.0,0
88.0,338.0,0
20.0,53.0,0
21.0,138.0,0
11.0,44.0,0
